case_number,case_type,case_status,district,main_address,parcel,assigned_to,"Opened
Date","Closed
Date"
TRSH-000802-2017,Trash/Debris,Closed,Council District 1,"8949 Carroll Manor Dr, Sandy Springs, GA 30350",06 036700030670,Paula Allen,05/18/2017,10/25/2017
TRSH-000814-2017,Trash/Debris,Closed,Council District 1,"8160 Habersham Waters Rd, Sandy Springs, GA 30350",06 035100030207,Paula Allen,05/19/2017,10/25/2017
TRSH-000824-2020,Trash/Debris,Closed,"Council District
1","501 Northridge Rd, Sandy
Springs, GA 30350",06 0385  LL0375,"Marcellus
Hampton",05/12/2020,07/17/2020
TRSH-000829-2020,Trash/Debris,Closed,"Council District
1",NA,NA,Kenneth Brown,05/13/2020,05/22/2020
TRSH-000872-2019,Trash/Debris,Closed,"Council District
1","5080 Nesbit Ferry Ln,
Sandy Springs, GA 30350",06 031200040246,"Marcellus
Hampton",05/13/2019,05/16/2019
TRSH-000884-2017,Trash/Debris,Closed,"Council District
1","0 Northridge Rd, Sandy
Springs, GA 30350",06 0360  LL0010,Paula Allen,06/01/2017,10/25/2017
TRSH-000902-2019,Trash/Debris,Closed,"Council District
1","9200 Roberts Dr, Sandy
Springs, GA 30350",06 0366  LL1517,"Marcellus
Hampton",05/17/2019,06/10/2019
TRSH-000927-2017,Trash/Debris,Closed,"Council District
1","8881 Long Beach Cir,
Sandy Springs, GA 30350",06 036500020111,Paula Allen,06/06/2017,10/25/2017
TRSH-000932-2017,Trash/Debris,Abated Case,"Council District
1","8835 Long Beach Cir,
Sandy Springs, GA 30350",06 036500040259,Paula Allen,06/07/2017,06/16/2017
TRSH-000936-2019,Trash/Debris,Unfounded,"Council District
1","8069 Kenstone Ct, Sandy
Springs, GA 30350",06 0383  LL0849,"Marcellus
Hampton",05/22/2019,05/30/2019
TRSH-000957-2017,Trash/Debris,Closed,"Council District
1","541 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040605,Paula Allen,06/12/2017,10/25/2017
TRSH-001000-2019,Trash/Debris,Closed,"Council District
1","5049 Nesbit Ferry Ln,
Sandy Springs, GA 30350",06 031200030189,"Marcellus
Hampton",06/03/2019,06/10/2019
TRSH-001002-2019,Trash/Debris,Unfounded,"Council District
1","5020 Nesbit Ferry Ln,
Sandy Springs, GA 30350",06 031200030304,"Marcellus
Hampton",06/03/2019,06/03/2019
TRSH-001008-2017,Trash/Debris,Closed,Council District 1,"8080 Habersham Waters Rd, Sandy Springs, GA
30350",06 035100020398,Paula Allen,06/19/2017,10/25/2017
TRSH-001032-2019,Trash/Debris,Voluntary Compliance,Council District 1,"8329 Roswell Rd, Sandy Springs, GA 30350",17 0025  LL0527,Jennifer Lee,05/31/2019,06/06/2019
TRSH-001094-2020,Trash/Debris,Closed,Council District 1,"420 Ivy Hall, Sandy Springs, GA 30350",06 0337  LL0481,Marcellus Hampton,05/26/2020,01/12/2021
TRSH-001116-2019,Trash/Debris,Closed,Council District 1,"501 Northridge Rd, Sandy Springs, GA 30350",06 0385  LL0375,Marcellus Hampton,06/18/2019,06/28/2019
TRSH-001126-2020,Trash/Debris,Closed,Council District 1,"9400 Roberts Dr, Sandy Springs, GA 30350",06 0366  LLC01,Marcellus Hampton,06/01/2020,06/11/2020
TRSH-001151-2017,Trash/Debris,Closed,Council District 1,"101 Gettysburg Pl, Sandy Springs, GA 30350",06 036400030012,Paula Allen,07/17/2017,10/25/2017
TRSH-001162-2017,Trash/Debris,Closed,Council District 1,"0 Roberts Dr, Sandy Springs, GA 30350",06 0361  LL0316,Paula Allen,07/18/2017,10/25/2017
TRSH-001189-2019,Trash/Debris,Closed,Council District 1,"1890 Monticello Ct, Sandy Springs, GA 30350",06 035100010308,Marcellus Hampton,06/30/2019,07/10/2019
TRSH-001203-2017,Trash/Debris,Closed,Council District 1,"8869 Roberts Dr, Sandy Springs, GA 30350",06 036500010054,Michael Franklin,07/27/2017,11/06/2017
TRSH-001211-2017,Trash/Debris,Closed,Council District 1,"1304 Natchez Trce, Sandy Springs, GA 30350",06 036400020617,Michael Franklin,07/28/2017,11/06/2017
TRSH-001216-2019,Trash/Debris,Unfounded,Council District 1,"2959 Spalding Dr, Sandy Springs, GA 30350",06 0342  LL0237,Marcellus Hampton,07/08/2019,07/08/2019
TRSH-001227-2017,Trash/Debris,Closed,Council District 1,"7635 Ryefield Dr, Sandy Springs, GA 30350",06 033800010173,Michael Franklin,08/01/2017,12/04/2017
TRSH-001241-2020,Trash/Debris,Closed,Council District 1,"9018 Carroll Manor Dr, Sandy Springs, GA 30350",06 036700030753,Marcellus Hampton,06/05/2020,06/05/2020
TRSH-001242-2019,Trash/Debris,Closed,Council District 1,"7695 Nesbit Ferry Rd, Sandy Springs, GA 30350",06 031200030031,Marcellus Hampton,07/10/2019,07/16/2019
TRSH-001255-2017,Trash/Debris,Closed,Council District 1,"8903 Roberts Dr, Sandy Springs, GA 30350",06 036500010229,Michael Franklin,08/07/2017,10/04/2017
TRSH-001268-2017,Trash/Debris,Closed,Council District 1,"8893 Roberts Dr, Sandy Springs, GA 30350",06 036500010187,Michael Franklin,08/08/2017,10/04/2017
TRSH-001268-2019,Trash/Debris,Closed,Council District 1,"8844 Long Beach Cir, Sandy Springs, GA 30350",06 036500040135,Marcellus Hampton,07/17/2019,08/10/2019
TRSH-001269-2017,Trash/Debris,Closed,Council District 1,"5055 Spalding Dr, Sandy Springs, GA 30350",06 031200010157,Michael Franklin,08/08/2017,10/04/2017
TRSH-001345-2019,Trash/Debris,"Induced
Compliance","Council District
1","570 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020094,"Marcellus
Hampton",07/25/2019,10/18/2019
TRSH-001358-2017,Trash/Debris,Unfounded,"Council District
1","8849 Long Beach Cir,
Sandy Springs, GA 30350",06 036500040184,Michael Franklin,08/23/2017,08/24/2017
TRSH-001363-2017,Trash/Debris,Closed,"Council District
1","565 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020292,Paula Allen,08/24/2017,04/15/2020
TRSH-001398-2019,Trash/Debris,Closed,"Council District
1","562 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020060,"Marcellus
Hampton",07/31/2019,07/01/2020
TRSH-001404-2020,Trash/Debris,Closed,"Council District
1","1067 Pitts Rd, Sandy
Springs, GA 30350",NA,"Marcellus
Hampton",06/19/2020,06/24/2020
TRSH-001406-2017,Trash/Debris,Unfounded,"Council District
1","0 Dunvegan Close,",06 034200050017,Michael Franklin,09/06/2017,09/08/2017
TRSH-001440-2020,Trash/Debris,Closed,"Council District
1","35 Serendipity Way, Sandy
Springs, GA 30350",06 036700020044,"Marcellus
Hampton",06/24/2020,06/24/2020
TRSH-001442-2020,Trash/Debris,Transferred,"Council District
1","55 Serendipity Way, Sandy
Springs, GA 30350",06 036700020069,"Marcellus
Hampton",06/24/2020,NA
TRSH-001475-2019,Trash/Debris,"Voluntary
Compliance","Council District
1","8333 Roswell Rd, Sandy
Springs, GA 30350",17 0025  LL0527,Jennifer Lee,08/13/2019,08/15/2019
TRSH-001509-2017,Trash/Debris,Closed,"Council District
1","0 Jett Ferry Rd, Sandy
Springs, GA 30350",06 0342  LL0583,Michael Franklin,10/04/2017,12/04/2017
TRSH-001519-2019,Trash/Debris,Closed,"Council District
1","564 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020060,"Marcellus
Hampton",08/21/2019,07/01/2020
TRSH-001554-2017,Trash/Debris,Closed,"Council District
1","3100 River Exchange Dr,
Sandy Springs, GA 30092",06 0313  LL0331,Michael Franklin,10/17/2017,10/19/2017
TRSH-001558-2019,Trash/Debris,Closed,"Council District
1","501 Northridge Rd, Sandy
Springs, GA 30350",06 0385  LL0375,"Marcellus
Hampton",08/28/2019,06/30/2020
TRSH-001561-2019,Trash/Debris,"Induced
Compliance","Council District
1","1240 Tynecastle Way,
Sandy Springs, GA 30350",06 036100060046,"Marcellus
Hampton",08/28/2019,09/30/2019
TRSH-001570-2019,Trash/Debris,Closed,"Council District
1","532 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040357,"Marcellus
Hampton",08/29/2019,09/23/2019
TRSH-001621-2020,Trash/Debris,Closed,"Council District
1","481 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040209,"Marcellus
Hampton",07/06/2020,07/23/2020
TRSH-001631-2017,Trash/Debris,Closed,"Council District
1","2700 Mount Vernon Rd,
Sandy Springs, GA 30350",06 033800010017,Michael Franklin,11/06/2017,12/04/2017
TRSH-001640-2017,Trash/Debris,Closed,"Council District
1","475 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040720,Michael Franklin,11/08/2017,11/10/2017
TRSH-001644-2019,Trash/Debris,Closed,"Council District
1","572 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020102,"Marcellus
Hampton",09/17/2019,12/17/2020
TRSH-001645-2017,Trash/Debris,Active,"Council District
1","7600 Hunters Woods Dr,
Sandy Springs, GA 30350",06 033700020017,Michael Franklin,11/10/2017,NA
TRSH-001647-2019,Trash/Debris,Closed,"Council District
1","566 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020086,"Marcellus
Hampton",09/17/2019,09/23/2020
TRSH-001676-2020,Trash/Debris,Closed,"Council District
1","9400 Roberts Dr, Sandy
Springs, GA 30350",06 0366  LLC01,"Marcellus
Hampton",07/10/2020,07/17/2020
TRSH-001697-2017,Trash/Debris,Closed,"Council District
1","0 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500030606,Paula Allen,11/30/2017,07/31/2020
TRSH-001722-2019,Trash/Debris,Closed,Council District 1,"8217 Colquitt Rd APT A, Sandy Springs, GA 30350",06 0385  LL0367,Marcellus Hampton,10/03/2019,12/06/2019
TRSH-001733-2017,Trash/Debris,Closed,"Council District
1","8101 Colquitt Rd, Sandy
Springs, GA 30350",NA,Paula Allen,12/19/2017,02/13/2020
TRSH-001743-2019,Trash/Debris,"Induced
Compliance","Council District
1","2670 Spalding Dr, Sandy
Springs, GA 30350",06 0351  LL0656,"Marcellus
Hampton",10/09/2019,10/22/2019
TRSH-001745-2017,Trash/Debris,Closed,"Council District
1","7740 Janann Way, Sandy
Springs, GA 30350",06 031300010099,"Gregory
Copeland",12/21/2017,12/22/2017
TRSH-001768-2019,Trash/Debris,Closed,"Council District
1","8101 Colquitt Rd, Sandy
Springs, GA 30350",06 0385  LL0367,"Marcellus
Hampton",10/16/2019,12/06/2019
TRSH-001786-2018,Trash/Debris,Closed,"Council District
1","305 Whitley Park Dr, Sandy
Springs, GA 30350",06 0312  LL0407,"Gregory
Copeland",01/10/2018,11/03/2018
TRSH-001819-2018,Trash/Debris,Closed,"Council District
1","0 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500030606,"Gregory
Copeland",01/23/2018,10/07/2018
TRSH-001833-2018,Trash/Debris,Unfounded,"Council District
1","1265 Spalding Dr, Sandy
Springs, GA 30350",06 0378  LL0010,"Gregory
Copeland",01/25/2018,01/26/2018
TRSH-001857-2018,Trash/Debris,Closed,"Council District
1","7620 Ball Mill Rd, Sandy
Springs, GA 30350",06 0352  LL0291,"Gregory
Copeland",01/31/2018,01/31/2018
TRSH-001863-2019,Trash/Debris,Closed,"Council District
1","565 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020292,"Marcellus
Hampton",11/07/2019,07/10/2020
TRSH-001874-2019,Trash/Debris,Closed,"Council District
1","0 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500030606,"Marcellus
Hampton",11/11/2019,03/12/2020
TRSH-001875-2019,Trash/Debris,Closed,"Council District
1","500 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040480,"Marcellus
Hampton",11/11/2019,02/04/2020
TRSH-001899-2018,Trash/Debris,Unfounded,"Council District
1","1595 Spalding Dr, Sandy
Springs, GA 30350",06 0383  LL0799,"Gregory
Copeland",02/05/2018,02/05/2018
TRSH-001977-2018,Trash/Debris,Closed,"Council District
1","8331 Roswell Rd, Sandy
Springs, GA 30350",17 0025  LL0527,"Gregory
Copeland",02/16/2018,10/07/2018
TRSH-001983-2018,Trash/Debris,Unfounded,"Council District
1","8907 Roberts Dr, Sandy
Springs, GA 30350",06 036500010245,"Gregory
Copeland",02/20/2018,02/21/2018
TRSH-001990-2018,Trash/Debris,Unfounded,"Council District
1","8905 Roberts Dr, Sandy
Springs, GA 30350",06 036500010237,"Gregory
Copeland",02/20/2018,02/28/2018
TRSH-002008-2018,Trash/Debris,Closed,"Council District
1","275 Skyridge Dr, Sandy
Springs, GA 30350",06 035800010186,"Gregory
Copeland",02/23/2018,03/12/2018
TRSH-002020-2018,Trash/Debris,Abated Case,"Council District
1","8907 Roberts Dr, Sandy
Springs, GA 30350",06 036500010245,Paula Allen,02/26/2018,01/28/2019
TRSH-002023-2018,Trash/Debris,Closed,"Council District
1","540 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040092,Paula Allen,02/26/2018,01/28/2019
TRSH-002037-2018,Trash/Debris,Closed,"Council District
1","540 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,Kenneth Brown,03/02/2018,05/24/2018
TRSH-002038-2018,Trash/Debris,Closed,"Council District
1","556 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,Kenneth Brown,03/02/2018,06/20/2018
TRSH-002048-2020,Trash/Debris,Closed,"Council District
1","571 Northridge Rd, Sandy
Springs 30350",NA,"Marcellus
Hampton",08/03/2020,08/04/2020
TRSH-002052-2020,Trash/Debris,Closed,"Council District
1","501 Northridge Rd, Sandy
Springs, GA 30350",06 0385  LL0375,"Marcellus
Hampton",08/04/2020,08/13/2020
TRSH-002055-2020,Trash/Debris,Closed,"Council District
1","100 Greyfield Ln, Sandy
Springs, GA 30350",06 0367  LL0641,"Marcellus
Hampton",08/04/2020,08/06/2020
TRSH-002066-2020,Trash/Debris,Closed,"Council District
1","6015 Nesbit Ferry Ln,
Sandy Springs, GA 30350",06 031200040196,"Marcellus
Hampton",08/05/2020,08/05/2020
TRSH-002079-2019,Trash/Debris,"Induced
Compliance","Council District
1","506 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040456,"Marcellus
Hampton",12/27/2019,12/30/2019
TRSH-002085-2018,Trash/Debris,Closed,"Council District
1","0 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500030606,Paula Allen,03/15/2018,01/28/2019
TRSH-002086-2019,Trash/Debris,Closed,"Council District
1","475 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040175,"Marcellus
Hampton",12/30/2019,02/24/2020
TRSH-002095-2018,Trash/Debris,Closed,"Council District
1","7950 Nesbit Ferry Rd,
Sandy Springs, GA 30350",06 0336  LL0128,Paula Allen,03/20/2018,01/28/2019
TRSH-002096-2018,Trash/Debris,Closed,"Council District
1","3000 Coles Way, Sandy
Springs, GA 30350",06 033600030017,Paula Allen,03/20/2018,01/28/2019
TRSH-002099-2020,Trash/Debris,Closed,"Council District
1","8139 Colquitt Rd,",06 0385  LL0367,"Marcellus
Hampton",08/12/2020,08/14/2020
TRSH-002115-2020,Trash/Debris,Closed,"Council District
1","501 Northridge Rd, Sandy
Springs, GA 30350",06 0385  LL0375,"Marcellus
Hampton",08/17/2020,08/20/2020
TRSH-002192-2018,Trash/Debris,Closed,"Council District
1","559 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020276,Paula Allen,04/03/2018,01/28/2019
TRSH-002203-2020,Trash/Debris,Closed,"Council District
1","8601 Roberts Dr, Sandy
Springs, GA 30350",06 0364  LL0313,"Marcellus
Hampton",08/27/2020,11/17/2020
TRSH-002204-2020,Trash/Debris,"Voluntary
Compliance","Council District
1","8329 Roswell Rd, Sandy
Springs, GA 30350",17 0025  LL0527,Shawn Wray,08/27/2020,08/31/2020
TRSH-002297-2018,Trash/Debris,Closed,"Council District
1","0 Nesbit Ferry Rd, Sandy
Springs, GA 30350",06 0344  LL0078,Paula Allen,04/17/2018,01/28/2019
TRSH-002311-2018,Trash/Debris,Closed,"Council District
1","3000 Coles Way, Sandy
Springs, GA 30350",06 0336  LL0128,Paula Allen,04/18/2018,01/25/2019
TRSH-002323-2018,Trash/Debris,Closed,"Council District
1","0 Spalding Dr, Sandy
Springs, GA 30092",06 0313  LL0109,Shane Peeples,04/19/2018,04/25/2018
TRSH-002328-2018,Trash/Debris,Abated Case,"Council District
1","0 Chaparral Pl, Sandy
Springs, GA 30350",06 035200020272,Paula Allen,04/23/2018,04/23/2018
TRSH-002369-2020,Trash/Debris,Active,"Council District
1","5060 Nesbit Ferry Ln,
Sandy Springs, GA 30350",06 031200040295,"Marcellus
Hampton",09/08/2020,NA
TRSH-002405-2020,Trash/Debris,Closed,"Council District
1","8873 Long Beach Cir,
Sandy Springs, GA 30350",06 036500020152,"Marcellus
Hampton",09/14/2020,02/02/2021
TRSH-002406-2018,Trash/Debris,Closed,"Council District
1","555 Avignon Ct, Sandy
Springs, GA 30350",06 033700050477,Paula Allen,05/04/2018,07/31/2020
TRSH-002419-2018,Trash/Debris,Closed,"Council District
1","7605 Nesbit Ferry Rd,
Sandy Springs, GA 30350",06 031200010074,Paula Allen,05/08/2018,01/25/2019
TRSH-002437-2020,Trash/Debris,Closed,"Council District
1","8175 Innsbruck Dr, Sandy
Springs, GA 30350",06 035600020138,"Marcellus
Hampton",09/16/2020,10/22/2020
TRSH-002495-2018,Trash/Debris,Closed,"Council District
1","570 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020094,Paula Allen,05/16/2018,07/31/2020
TRSH-002525-2020,Trash/Debris,Closed,"Council District
1","8101 Colquitt Rd, Sandy
Springs, GA 30350",06 0385  LL0367,"Marcellus
Hampton",10/01/2020,10/21/2020
TRSH-002566-2020,Trash/Debris,Closed,Council District 1,"305 Wynland Trce, Sandy Springs, GA 30350",06 033700020090,Marcellus Hampton,10/08/2020,11/12/2020
TRSH-002620-2018,Trash/Debris,Transferred,"Council District
1","5025 Willow Bluff Dr,
Sandy Springs, GA 30350",06 033600010233,Paula Allen,06/06/2018,NA
TRSH-002668-2018,Trash/Debris,Closed,"Council District
1","501 Northridge Rd, Sandy
Springs, GA 30350",06 0385  LL0375,Paula Allen,06/12/2018,01/28/2019
TRSH-002793-2020,Trash/Debris,Transferred,"Council District
1","9300 Roberts Dr, Sandy
Springs, GA 30350",06 0366  LL0220,"Marcellus
Hampton",10/22/2020,NA
TRSH-002797-2020,Trash/Debris,Closed,"Council District
1","524 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040043,"Marcellus
Hampton",10/23/2020,10/30/2020
TRSH-002798-2020,Trash/Debris,Closed,"Council District
1","1620 Saddle Ridge Way,
Sandy Springs, GA 30350",06 035300030247,"Marcellus
Hampton",10/23/2020,02/05/2021
TRSH-003020-2018,Trash/Debris,Closed,"Council District
1",NA,NA,Paula Allen,08/03/2018,01/25/2019
TRSH-003021-2018,Trash/Debris,Closed,"Council District
1","8155 Roswell Rd, Sandy
Springs, GA 30350",NA,Paula Allen,08/03/2018,01/28/2019
TRSH-003022-2018,Trash/Debris,Closed,"Council District
1","890 River Cir,",NA,Paula Allen,08/03/2018,01/28/2019
TRSH-003042-2018,Trash/Debris,"Voluntary
Compliance","Council District
1","7660 Ball Mill Rd,",06 0352  LL0291,Shane Peeples,08/08/2018,08/23/2018
TRSH-003067-2018,Trash/Debris,Closed,"Council District
1","9200 Roberts Dr, Sandy
Springs, GA 30350",06 0366  LL0592,Paula Allen,08/10/2018,01/25/2019
TRSH-003095-2018,Trash/Debris,Closed,"Council District
1","572 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020094,Paula Allen,08/16/2018,09/12/2018
TRSH-003146-2018,Trash/Debris,Closed,"Council District
1","8090 River Cir, Sandy
Springs, GA 30350",06 034300010093,Paula Allen,08/28/2018,01/28/2019
TRSH-003201-2018,Trash/Debris,"Voluntary
Compliance","Council District
1","8911 Roswell Rd, Sandy
Springs, GA 30350",NA,Shane Peeples,09/06/2018,09/18/2018
TRSH-003213-2018,Trash/Debris,Unfounded,"Council District
1","8601 Roberts Dr, Sandy
Springs, GA 30350",06 0364  LL0313,Paula Allen,09/08/2018,09/11/2018
TRSH-003460-2020,Trash/Debris,Closed,"Council District
1","9300 Roberts Dr, Sandy
Springs, GA 30350",06 0366  LL0220,"Marcellus
Hampton",12/07/2020,04/28/2021
TRSH-003473-2020,Trash/Debris,Closed,"Council District
1","8080 Innsbruck Dr, Sandy
Springs, GA 30350",06 035600030111,"Marcellus
Hampton",12/11/2020,09/29/2021
TRSH-003481-2018,Trash/Debris,"Voluntary
Compliance","Council District
1","7800 Mount Vernon Rd,
Sandy Springs, GA 30350",06 0337  LL0358,Yvonne Shaw,11/09/2018,02/21/2019
TRSH-003504-2020,Trash/Debris,Closed,"Council District
1","0 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500030606,"Marcellus
Hampton",12/17/2020,01/12/2021
TRSH-003608-2018,Trash/Debris,Closed,"Council District
1","7764 Mount Vernon Rd,
Sandy Springs, GA 30350",06 0337  LL0366,"Marcellus
Hampton",12/14/2018,12/14/2018
TRSH-003624-2018,Trash/Debris,Closed,"Council District
1","501 Northridge Rd, Sandy
Springs, GA 30350",06 0385  LL0375,"Marcellus
Hampton",12/19/2018,01/16/2019
TRSH-003625-2021,Trash/Debris,Closed,"Council District
1","471 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040738,"Marcellus
Hampton",01/12/2021,02/03/2021
TRSH-003629-2018,Trash/Debris,New Complaint,"Council District
1","0 Roberts Dr, Sandy
Springs, GA 30350",06 0361  LL0316,"Marcellus
Hampton",12/21/2018,NA
TRSH-003643-2018,Trash/Debris,Closed,"Council District
1","9400 Roberts Dr, Sandy
Springs, GA 30350",06 0366  LLC01,"Marcellus
Hampton",12/28/2018,01/15/2019
TRSH-003643-2021,Trash/Debris,Closed,"Council District
1","40 Sherington Pl, Sandy
Springs, GA 30350",06 034300030034,"Marcellus
Hampton",01/19/2021,01/28/2021
TRSH-003746-2021,Trash/Debris,Closed,"Council District
1","0 Cherry Tree Ln,",NA,"Marcellus
Hampton",02/01/2021,02/09/2021
TRSH-003813-2021,Trash/Debris,Closed,"Council District
1","60 Sherington Pl, Sandy
Springs, GA 30350",06 034300030059,"Marcellus
Hampton",02/10/2021,02/10/2021
TRSH-003931-2021,Trash/Debris,Active,"Council District
1","501 Northridge Rd, Sandy
Springs, GA 30350",06 0385  LL0375,"Marcellus
Hampton",03/10/2021,05/24/2021
TRSH-003967-2021,Trash/Debris,Closed,"Council District
1","535 Spender Trce, Sandy
Springs, GA 30350",17 002300010477,"Marcellus
Hampton",03/17/2021,04/09/2021
TRSH-003971-2021,Trash/Debris,Closed,"Council District
1","501 Northridge Rd, Sandy
Springs, GA 30350",06 0385  LL0375,"Marcellus
Hampton",03/18/2021,04/22/2021
TRSH-003996-2021,Trash/Debris,Closed,"Council District
1","1494 Spalding Dr, Sandy
Springs, GA 30350",06 0383  LL0443,"Marcellus
Hampton",03/23/2021,04/26/2021
TRSH-004017-2021,Trash/Debris,New Complaint,"Council District
1","8159 Colquitt Rd, Sandy
Springs, GA 30350",06 0385  LL0367,"Marcellus
Hampton",03/25/2021,NA
TRSH-004117-2021,Trash/Debris,Closed,"Council District
1","8990 Carroll Manor Dr,
Sandy Springs, GA 30350",06 036700031579,"Marcellus
Hampton",04/14/2021,04/15/2021
TRSH-004357-2021,Trash/Debris,Closed,"Council District
1","0 Dunwoody Club Dr,
Sandy Springs, GA 30350",06 0339  LL0075,"Marcellus
Hampton",06/01/2021,06/03/2021
TRSH-004370-2021,Trash/Debris,Closed,"Council District
1","9300 Roberts Dr, Sandy
Springs, GA 30350",06 0366  LL0220,"Marcellus
Hampton",06/01/2021,07/30/2021
TRSH-004374-2021,Trash/Debris,Closed,"Council District
1","7800 Jett Ferry Rd, Sandy
Springs, GA 30350",06 034200060016,"Marcellus
Hampton",06/02/2021,06/03/2021
TRSH-004419-2021,Trash/Debris,"Voluntary
Compliance","Council District
1","8325 Roswell Rd, Sandy
Springs, GA 30350",17 0025  LL0345,Shawn Wray,06/08/2021,06/10/2021
TRSH-004433-2021,Trash/Debris,Active,"Council District
1","8600 Roberts Dr, Sandy
Springs, GA 30350",06 0364  LL0511,"Marcellus
Hampton",06/14/2021,NA
TRSH-004463-2021,Trash/Debris,Closed,"Council District
1","8101 Colquitt Rd, Sandy
Springs, GA 30350",06 0385  LL0367,"Marcellus
Hampton",06/22/2021,07/02/2021
TRSH-004500-2021,Trash/Debris,Active,"Council District
1","9300 Roberts Dr, Sandy
Springs, GA 30350",06 0366  LL0220,"Marcellus
Hampton",06/29/2021,07/30/2021
TRSH-004574-2021,Trash/Debris,"Induced
Compliance","Council District
1","7670 Blandford Pl, Sandy
Springs, GA 30350",06 033700070186,Shawn Wray,07/15/2021,08/23/2021
TRSH-004576-2021,Trash/Debris,Active,"Council District
1","0 Spruce Bluff Dr, Sandy
Springs, GA 30350",06 0336  LL0946,"Marcellus
Hampton",07/15/2021,NA
TRSH-004585-2021,Trash/Debris,Induced Compliance,Council District 1,"8155 Habersham Waters Rd, Sandy Springs, GA
30350",06 035100030108,Shawn Wray,07/16/2021,08/23/2021
TRSH-004633-2021,Trash/Debris,Closed,Council District 1,"7961 Magnolia Sq, Sandy Springs, GA 30350",17 0024  LL1401,Marcellus Hampton,07/22/2021,07/27/2021
TRSH-004646-2021,Trash/Debris,Closed,Council District 1,"8205 Colquitt Rd  A, Sandy Springs, GA 30350",06 0385  LL0367,Marcellus Hampton,07/26/2021,08/02/2021
TRSH-004658-2021,Trash/Debris,Closed,"Council District
1","265 Quiet Water Ln, Sandy
Springs, GA 30350",06 0351  LL0771,"Marcellus
Hampton",07/27/2021,07/29/2021
TRSH-004691-2021,Trash/Debris,Closed,"Council District
1","1000 Spalding Dr, Sandy
Springs, GA 30350",17 0022  LL0587,"Marcellus
Hampton",08/02/2021,08/16/2021
TRSH-004763-2021,Trash/Debris,Closed,"Council District
1","7995 Saddle Ridge Dr,
Sandy Springs, GA 30350",06 035300030171,"Marcellus
Hampton",08/16/2021,08/30/2021
TRSH-004823-2021,Trash/Debris,Active,"Council District
1","100 Greyfield Ln, Sandy
Springs, GA 30350",06 0367  LL0641,"Marcellus
Hampton",08/30/2021,09/02/2021
TRSH-004876-2021,Trash/Debris,Closed,"Council District
1","520 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040019,"Marcellus
Hampton",09/10/2021,09/20/2021
TRSH-004877-2021,Trash/Debris,Closed,"Council District
1","489 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040662,"Marcellus
Hampton",09/10/2021,09/20/2021
TRSH-004878-2021,Trash/Debris,New Complaint,"Council District
1","8600 Roberts Dr, Sandy
Springs, GA 30350",06 0364  LL0511,"Marcellus
Hampton",09/10/2021,NA
TRSH-004910-2021,Trash/Debris,Closed,"Council District
1","8842 Applegate Ln, Sandy
Springs, GA 30350",06 036500030276,"Marcellus
Hampton",09/16/2021,09/23/2021
TRSH-004911-2021,Trash/Debris,Closed,"Council District
1","500 Nesbit Lake Ct, Sandy
Springs, GA 30350",06 031200030213,"Marcellus
Hampton",09/16/2021,10/12/2021
TRSH-004924-2021,Trash/Debris,New Complaint,"Council District
1","7520 Mount Vernon Rd,
Sandy Springs, GA 30350",06 033800010025,"Marcellus
Hampton",09/20/2021,NA
TRSH-004972-2021,Trash/Debris,Closed,"Council District
1","8909 Roberts Dr, Sandy
Springs, GA 30350",06 036500010252,"Marcellus
Hampton",09/30/2021,10/05/2021
TRSH-004977-2021,Trash/Debris,Closed,"Council District
1","7820 N Spalding Lake Dr,
Sandy Springs, GA 30350",06 033700060112,"Marcellus
Hampton",10/04/2021,10/08/2021
