"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS3303","Bunnell","Flagler County","FL","Bunnell Police Department","Police","The Bunnell Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p31","","Pinellas County Sheriff's Office","","2015",""
"AOS3304","Blountstown","Calhoun County","FL","Calhoun County Sheriff's Office","Sheriff","The Calhoun County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","County","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p32","","Pinellas County Sheriff's Office","","2015",""
"AOS3305","Cape Coral","Lee County","FL","Cape Coral Police Department","Police","The Cape Coral Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p33","","Pinellas County Sheriff's Office","","2015",""
"AOS3306","Casselberry","Seminole County","FL","Casselberry Police Department","Police","The Casselberry Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p34","","Pinellas County Sheriff's Office","","2015",""
"AOS3307","Punta Gorda","Charlotte County","FL","Charlotte County Sheriff's Office","Sheriff","The Charlotte County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","County","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p35","","Pinellas County Sheriff's Office","","2015",""
"AOS3308","Chiefland","Levy County","FL","Chiefland Police Department","Police","The Chiefland Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p36","","Pinellas County Sheriff's Office","","2015",""
"AOS3309","Inverness","Citrus County","FL","Citrus County Sheriff's Office","Sheriff","The Citrus County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","County","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p37","","Pinellas County Sheriff's Office","","2015",""
"AOS3310","Green Cove Springs","Clay County","FL","Clay County Sheriff's Office","Sheriff","The Clay County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","County","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p38","","Pinellas County Sheriff's Office","","2015",""
"AOS3311","Clearwater","Pinellas County","FL","Clearwater Police Department","Police","The Clearwater Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p39","","Pinellas County Sheriff's Office","","2015",""
"AOS3312","Clermont","Lake County","FL","Clermont Police Department","Police","The Clermont Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p40","","Pinellas County Sheriff's Office","","2015",""
"AOS3313","Clewiston","Hendry County","FL","Clewiston Police Department","Police","The Clewiston Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p41","","Pinellas County Sheriff's Office","","2015",""
"AOS3314","Cocoa Beach","Brevard County","FL","Cocoa Beach Police Department","Police","The Cocoa Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p42","","Pinellas County Sheriff's Office","","2015",""
"AOS3315","Cocoa","Brevard County","FL","Cocoa Police Department","Police","The Cocoa Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p43","","Pinellas County Sheriff's Office","","2015",""
"AOS3316","Coconut Creek","Broward County","FL","Coconut Creek Police Department","Police","The Coconut Creek Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p44","","Pinellas County Sheriff's Office","","2015",""
"AOS3317","Naples","Collier County","FL","Collier County Sheriff's Office","Sheriff","The Collier County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","County","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p45","","Pinellas County Sheriff's Office","","2015",""
"AOS3318","Lake City","Columbia County","FL","Columbia County Sheriff's Office","Sheriff","The Columbia County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","County","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p46","","Pinellas County Sheriff's Office","","2015",""
"AOS3319","Coral Gables","Miami-Dade County","FL","Coral Gables Police Department","Police","The Coral Gables Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p47","","Pinellas County Sheriff's Office","","2015",""
"AOS3320","Coral Springs","Broward County","FL","Coral Springs Police Department","Police","The Coral Springs Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p48","","Pinellas County Sheriff's Office","","2015",""
"AOS3321","Crestview","Okaloosa County","FL","Crestview Police Department","Police","The Crestview Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p49","","Pinellas County Sheriff's Office","","2015",""
"AOS3322","Davie","Broward County","FL","Davie Police Department","Police","The Davie Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p50","","Pinellas County Sheriff's Office","","2015",""
"AOS3323","Daytona Beach","Volusia County","FL","Daytona Beach Police Department","Police","The Daytona Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p51","","Pinellas County Sheriff's Office","","2015",""
"AOS3324","Daytona Beach Shores","Volusia County","FL","Daytona Beach Shores Department of Public Safety","Police","The Daytona Beach Shores Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p52","","Pinellas County Sheriff's Office","","2015",""
"AOS3325","Delray Beach","Palm Beach County","FL","Delray Beach Police Department","Police","The Delray Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p53","","Pinellas County Sheriff's Office","","2015",""
"AOS3326","DeLand","Volusia County","FL","DeLand Police Department","Police","The DeLand Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p54","","Pinellas County Sheriff's Office","","2015",""
"AOS3327","Arcadia","Desoto County","FL","Desoto County Sheriff's Office","Sheriff","The Desoto County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","County","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p55","","Pinellas County Sheriff's Office","","2015",""
"AOS3328","Doral","Miami-Dade County","FL","Doral Police Department","Police","The Doral Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p56","","Pinellas County Sheriff's Office","","2015",""
"AOS3329","Eatonville","Orange County","FL","Eatonville Police Department","Police","The Eatonville Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p57","","Pinellas County Sheriff's Office","","2015",""
"AOS3330","Edgewater","Volusia County","FL","Edgewater Police Department","Police","The Edgewater Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p58","","Pinellas County Sheriff's Office","","2015",""
"AOS3331","Edgewood","Orange County","FL","Edgewood Police Department","Police","The Edgewood Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p59","","Pinellas County Sheriff's Office","","2015",""
"AOS3332","Pensacola","Escambia County","FL","Escambia County Sheriff's Office","Sheriff","The Escambia County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","County","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p60","","Pinellas County Sheriff's Office","","2015",""
"AOS3333","Eustis","Lake County","FL","Eustis Police Department","Police","The Eustis Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p61","","Pinellas County Sheriff's Office","","2015",""
"AOS3334","Fellsmere","Indian River County","FL","Fellsmere Police Department","Police","The Fellsmere Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p62","","Pinellas County Sheriff's Office","","2015",""
"AOS3335","Fernandina Beach","Nassau County","FL","Fernandina Beach Police Department","Police","The Fernandina Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p63","","Pinellas County Sheriff's Office","","2015",""
"AOS3336","Flagler Beach","Flagler County","FL","Flagler Beach Police Department","Police","The Flagler Beach Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","Municipal","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p64","","Pinellas County Sheriff's Office","","2015",""
"AOS3337","Bunnell","Flagler County","FL","Flagler County Sheriff's Office","Sheriff","The Flagler County Sheriff's Office is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ","County","Face Recognition","Idemia","https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html","","Orlando Sentinel","","07/12/2019","https://www.perpetuallineup.org/jurisdiction/florida","","Center on Privacy & Technology at Georgetown Law","","10/18/2016","https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p65","","Pinellas County Sheriff's Office","","2015",""
